
> labs@1.0.0 start
> http-server -p 3000

Starting up http-server, serving ./public

http-server version: 14.1.1

http-server settings: 
CORS: disabled
Cache: 3600 seconds
Connection Timeout: 120 seconds
Directory Listings: visible
AutoIndex: visible
Serve GZIP Files: false
Serve Brotli Files: false
Default File Extension: none

Available on:
  http://127.0.0.1:3000
  http://10.0.1.27:3000
Hit CTRL-C to stop the server

[2025-01-27T05:38:47.302Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
(node:52386) [DEP0066] DeprecationWarning: OutgoingMessage.prototype._headers is deprecated
(Use `node --trace-deprecation ...` to show where the warning was created)
[2025-01-27T05:38:52.709Z]  "GET /index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
[2025-01-27T05:38:53.107Z]  "GET /hobbies.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
[2025-01-27T05:39:02.857Z]  "GET /index.html" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36"
[2025-01-27T05:55:53.966Z]  "GET /" "Expanse, a Palo Alto Networks company, searches across the global IPv4 space multiple times per day to identify customers&#39; presences on the Internet. If you would like to be excluded from our scans, please send IP addresses/domains to: scaninfo@paloaltonetworks.com"
[2025-01-27T07:23:21.750Z]  "GET /" "undefined"
[2025-01-27T07:23:25.187Z]  "GET /" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2025-01-27T07:23:25.524Z]  "GET /favicon.ico" "Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)"
[2025-01-27T07:23:25.525Z]  "GET /favicon.ico" Error (404): "Not found"
[2025-01-27T07:52:26.791Z]  "GET /" "Mozilla/5.0 zgrab/0.x"
[2025-01-27T12:25:06.481Z]  "GET /" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/78.0.3904.108 Safari/537.36"
[2025-01-27T14:47:19.780Z]  "GET /" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/120.0.0.0 Safari/537.36 Edg/120.0.0.0"
[2025-01-27T14:47:25.145Z]  "GET /favicon.ico" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
[2025-01-27T14:47:25.146Z]  "GET /favicon.ico" Error (404): "Not found"
[2025-01-27T14:47:25.458Z]  "GET /robots.txt" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
[2025-01-27T14:47:25.459Z]  "GET /robots.txt" Error (404): "Not found"
[2025-01-27T14:47:25.746Z]  "GET /sitemap.xml" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
[2025-01-27T14:47:25.747Z]  "GET /sitemap.xml" Error (404): "Not found"
[2025-01-27T14:47:26.052Z]  "GET /config.json" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0) AppleWebKit/535.11 (KHTML, like Gecko) Chrome/17.0.963.56 Safari/535.11"
[2025-01-27T14:47:26.053Z]  "GET /config.json" Error (404): "Not found"
[2025-01-27T18:05:45.902Z]  "GET /wordpress/wp-admin/setup-config.php?step=1" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
[2025-01-27T18:05:45.903Z]  "GET /wordpress/wp-admin/setup-config.php?step=1" Error (404): "Not found"
[2025-01-27T18:05:46.800Z]  "GET /wp-admin/setup-config.php?step=1" "Mozlila/5.0 (Linux; Android 7.0; SM-G892A Bulid/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/60.0.3112.107 Moblie Safari/537.36"
[2025-01-27T18:05:46.800Z]  "GET /wp-admin/setup-config.php?step=1" Error (404): "Not found"
[2025-01-27T20:34:29.061Z]  "GET /" "undefined"
